RANK,,NAME,OPPONENT,RECORD,WEIGHTCLASS,
–,,Sean O'Malley,,5–1,BW,
–,,Chris Gutierrez,,4–1–1,BW,
–,,Montel Jackson,,4–2,BW,
–,,Nathaniel Wood,,4–2,BW,
–,,Guido Cannetti,,2–4,BW,
–,,Raoni Barcelos,,5–0,BW,
–,,Julio Arce,Injury,3–2,BW,
–,,Anthony Birchak,Tony Gravely - UFC Vegas 24,2–3,BW,
–,,Said Nurmagomedov,,3–1,BW,
–,,Mario Bautista,,2–2,BW,
–,,Khalid Taha,,2–2,BW,
–,,Aiemann Zahabi,,2–2,BW,
–,,Vince Morales,,1–3,BW,
14,,Kyler Phillips,,3–0,BW,
–,,Hunter Azure,Jack Shore - UFC Vegas 23,2–1,BW,
–,,Randy Costa,Injury,2–1,BW,
–,,Heili Alateng,,2–1,BW,
–,,Miles Johns,,2–1,BW,
–,,Benito Lopez,,2–1,BW,
–,,Felipe Colares,Journey Newson,1–2,BW,
–,,Anderson dos Santos,,1–2,BW,
–,,Gustavo Lopez,,1–2,BW,
–,,Journey Newson,Felipe Colares,1–2,BW,
–,,Aaron Phillips,Injury,0–3,BW,
–,,Nathan Maness,Injury,2–0,BW,
–,,Jack Shore,Hunter Azure - UFC Vegas 23,2–0,BW,
–,,Adrian Yanez,,2–0,BW,
–,,Trevin Jones,,1–0 (1 NC),BW,
–,,Timur Valiev,,1–0 (1 NC),BW,
–,,John Castaneda,,1–1,BW,
–,,Batgerel Danaa,Kevin Natividad - UFC 261,1–1,BW,
–,,Tony Gravely,Anthony Birchak - UFC Vegas 24,1–1,BW,
–,,Tony Kelley,,1–1,BW,
–,,Ode Osbourne,,1–1,BW,
–,,Domingo Pilarte,,0–2,BW,
–,,Ray Rodriguez,,0–2,BW,
–,,Ronnie Lawrence,,1–0,BW,
–,,Umar Nurmagomedov,,1–0,BW,
–,,Cameron Else,,0–1,BW,
–,,Sergey Morozov,,0–1,BW,
–,,Johnny Munoz,Jamey Simmons - UFC 261,0–1,BW,
–,,Kevin Natividad,Danaa Batgerel - UFC 261,0–1,BW,
–,,Gaetano Pirrello,,0–1,BW,
–,,Drako Rodriguez,,0–1,BW,
–,,Jamey Simmons ↓,Johnny Munoz - UFC 261,0–1,BW,
–,,Jesse Strader,,0–1,BW,
–,,Mark Striegl,Injury,0–1,BW,
,,,,,,
–,,Alexis Davis*,,9–6,WBW,
N/A,,Raquel Pennington,,8–5,WBW,
2,,Holly Holm,Injury,7–5,WBW,
–,,Miesha Tate*,Marion Reneau,7–5,WBW,
8,,Sara McMann,,6–6,WBW,
12,,Marion Reneau,Miesha Tate,5–6–1,WBW,
1,,Germaine de Randamie*,,8–3,WBW,
–,,Bethe Correia,Injury,5–5–1,WBW,
4,,Irene Aldana,,5–4,WBW,
6,,Julianna Pena,,6–2,WBW,
13,,Sijara Eubanks,Karol Rosa - UFC 263,4–4,WBW,
10,,Lina Lansberg,,4–4,WBW,
–,,Ashlee Evans-Smith,,3–5,WBW,
7,,Ketlen Vieira,,5–2,WBW,
9,,Macy Chiasson,,5–1,WBW,
5,,Yana Kunitskaya,,4–2,WBW,
3,,Aspen Ladd,Injury,4–1,WBW,
–,,Jessy-Rose Clark,,3–2,WBW,
11,,Pannie Kianzad,,3–2,WBW,
–,,Sabina Mazo,,3–2,WBW,
–,,Veronica Macedo,,1–4,WBW,
–,,Yanan Wu,,1–3,WBW,
14,,Karol Rosa,Sijara Eubanks - UFC 263,3–0,WBW,
15,,Julia Avila,,2–1,WBW,
–,,Bea Malecki,Norma Dumont - UFC Vegas 23,2–0,WBW,
–,,Norma Dumont,Bea Malecki - UFC Vegas 23,1–1,WBW,
–,,Joselyne Edwards,,1–1,WBW,
–,,Nicco Montano,Injury,1–1,WBW,
–,,Julija Stoliarenko,,0–2,WBW,
–,,Leah Letson ↓,Injury,1–0,WBW,
–,,Sarah Alpar,,0–1,WBW,
–,,Stephanie Egger,,0–1,WBW,
–,,Shanna Young,,0–1,WBW,
–,,Melissa Gatto,,0–0,WBW,
–,,Josiane Nunes,,0–0,WBW,
,,,,,,
5,,Joseph Benavidez*,,20–8,FLW,
10,,Tim Elliott,Su Mudaerji,6–9,FLW,
C.,,Deiveson Figueiredo,Brandon Moreno - UFC 263,9–1–1,FLW,
3,,Alexandre Pantoja,,7–3,FLW,
